Timestamp,Sync,Aux,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
109779.000000,255.000000,255.000000,-2.332952,6.157972,839.384338,-16.173004,4.175477,0.342463,-0.004974,-0.019268
109780.000000,255.000000,255.000000,-2.327134,6.157742,838.978088,-16.078106,4.082710,0.232276,-0.004866,-0.019164
109781.000000,255.000000,255.000000,-2.548025,6.383597,839.000854,-16.101467,4.059807,0.231687,-0.004839,-0.019191
109782.000000,255.000000,255.000000,-2.326255,6.380774,838.988586,-16.100605,4.081909,0.287000,-0.004865,-0.019190
109783.000000,255.000000,255.000000,-2.325210,6.381117,838.609375,-16.007286,3.988493,0.287013,-0.004756,-0.019088
109784.000000,255.000000,255.000000,-2.548155,6.383800,839.381165,-16.007915,3.966011,0.231673,-0.004725,-0.019071
109785.000000,255.000000,255.000000,-2.332670,6.158015,839.382996,-15.799438,3.989142,0.342972,-0.004752,-0.018823
109786.000000,255.000000,255.000000,-2.325340,6.381320,838.989685,-15.913734,3.894698,0.286999,-0.004642,-0.018968
109787.000000,255.000000,255.000000,-2.327747,6.380178,838.991516,-15.727375,4.081587,0.287196,-0.004865,-0.018746
109788.000000,255.000000,255.000000,-2.104464,6.378966,838.626038,-15.820896,4.008574,0.232021,-0.004780,-0.018865
109789.000000,255.000000,255.000000,-2.326068,6.381026,838.614746,-15.820751,3.987296,0.286700,-0.004755,-0.018865
109790.000000,255.000000,255.000000,-2.325340,6.381320,838.989685,-15.913734,3.894698,0.286999,-0.004642,-0.018968
109791.000000,255.000000,255.000000,-2.546792,6.384193,838.247681,-15.728294,3.871778,0.231401,-0.004619,-0.018763
109792.000000,255.000000,255.000000,-2.321050,6.602995,838.595764,-15.654984,3.988019,0.231729,-0.004756,-0.018668
109793.000000,255.000000,255.000000,-2.104053,6.378806,838.244324,-15.540882,3.916035,0.232544,-0.004672,-0.018540
109794.000000,255.000000,255.000000,-2.104053,6.378806,838.244324,-15.540882,3.916035,0.232544,-0.004672,-0.018540
109795.000000,255.000000,255.000000,-2.325656,6.380866,838.232971,-15.540737,3.894756,0.287223,-0.004646,-0.018540
109796.000000,255.000000,255.000000,-2.326868,6.381285,838.635803,-15.635063,3.987348,0.177217,-0.004755,-0.018643
109797.000000,255.000000,255.000000,-2.541775,6.606162,838.228760,-15.562527,3.872501,0.176429,-0.004620,-0.018566
109798.000000,255.000000,255.000000,-2.547556,6.383892,838.625549,-15.448048,3.778858,0.231896,-0.004506,-0.018421
109799.000000,255.000000,255.000000,-2.540226,6.607213,838.232239,-15.562351,3.684422,0.175920,-0.004395,-0.018566
109800.000000,255.000000,255.000000,-2.317577,6.605481,837.864380,-15.469170,3.612284,0.121254,-0.004311,-0.018463
109801.000000,255.000000,255.000000,-2.316698,6.828513,837.874878,-15.491676,3.611483,0.175977,-0.004310,-0.018489
109802.000000,255.000000,255.000000,-2.318211,6.826918,838.228149,-15.397293,3.706599,0.286466,-0.004422,-0.018369
109803.000000,255.000000,255.000000,-2.539981,6.829741,838.240356,-15.398155,3.684497,0.231152,-0.004396,-0.018370
109804.000000,255.000000,255.000000,-2.539180,6.607556,837.853027,-15.469032,3.591006,0.175934,-0.004286,-0.018463
109805.000000,255.000000,255.000000,-2.319106,6.827371,837.876709,-15.305317,3.798373,0.176173,-0.004533,-0.018267
109806.000000,255.000000,255.000000,-2.540839,6.829649,838.245667,-15.211620,3.683299,0.230839,-0.004394,-0.018147
109807.000000,255.000000,255.000000,-2.318190,6.827918,837.877747,-15.118446,3.611162,0.176173,-0.004310,-0.018044
109808.000000,255.000000,255.000000,-2.318190,6.827918,837.877747,-15.118446,3.611162,0.176173,-0.004310,-0.018044
109809.000000,255.000000,255.000000,-2.318190,6.827918,837.877747,-15.118446,3.611162,0.176173,-0.004310,-0.018044
